2016-04-07,96.080002,96.680000,93.739998,94.559998,86.071541,940300
2016-04-08,94.000000,94.480003,90.529999,91.239998,83.049553,1386000
2016-04-11,91.000000,91.820000,90.279999,90.370003,82.257668,889400
2016-04-12,91.309998,91.730003,89.639999,91.080002,82.903931,1386900
2016-04-13,91.800003,93.989998,91.589996,93.570000,85.170410,1176500
2016-04-14,93.220001,93.610001,91.820000,92.550003,84.241982,900200
2016-04-15,92.410004,94.730003,92.360001,94.470001,85.989616,1384800
2016-04-18,94.099998,95.400002,93.199997,95.190002,86.644989,646500
2016-04-19,95.400002,95.900002,94.089996,94.809998,86.299103,705200
2016-04-20,94.650002,95.790001,94.199997,94.830002,86.317307,746000
2016-04-21,95.339996,95.919998,93.809998,94.080002,85.634628,911500
2016-04-22,94.480003,95.279999,93.339996,93.980003,85.543625,796900
2016-04-25,93.790001,94.480003,92.720001,94.379997,85.907692,898700
2016-04-26,94.279999,95.019997,93.349998,94.970001,86.444740,946000
2016-04-27,95.360001,95.360001,94.580002,94.889999,86.371925,1208000
2016-04-28,93.980003,96.290001,93.790001,94.010002,85.570908,959400
2016-04-29,94.000000,94.430000,91.980003,93.209999,84.842720,825300
2016-05-02,93.279999,95.559998,92.790001,95.230003,86.681396,596700
2016-05-03,94.589996,95.250000,93.370003,94.529999,86.044243,763300
2016-05-04,93.989998,94.970001,92.739998,93.050003,84.697090,604300
2016-05-05,93.129997,93.480003,90.940002,91.000000,82.831116,914200
2016-05-06,90.800003,91.180000,89.120003,90.110001,82.020988,1260300
2016-05-09,90.000000,90.760002,89.540001,90.300003,82.193954,1702000
2016-05-10,87.389999,90.400002,87.389999,89.349998,81.329224,1492100
2016-05-11,87.070000,87.540001,83.660004,84.500000,76.914604,3681700
2016-05-12,89.959999,90.129997,83.980003,86.879997,79.080971,5637900
2016-05-13,86.010002,88.370003,84.540001,85.500000,77.824821,3065800
2016-05-16,85.639999,87.290001,85.400002,86.500000,78.735077,2582800
2016-05-17,86.000000,89.980003,85.580002,88.110001,80.200554,1590900
2016-05-18,87.199997,89.099998,86.500000,89.000000,81.010643,1639800
2016-05-19,89.190002,90.330002,87.739998,89.160004,81.156288,1435100
2016-05-20,89.730003,91.919998,89.639999,91.629997,83.404549,1227600
