2016-11-23,58500.000000,58710.000000,57860.000000,57860.000000,55667.046875,264
2016-11-24,57600.000000,58080.000000,57555.000000,57825.000000,55633.375000,197
2016-11-25,58010.000000,59250.000000,58010.000000,59250.000000,57004.367188,155
2016-11-28,59795.000000,59795.000000,58485.000000,58760.000000,56532.941406,228
2016-11-29,58610.000000,58990.000000,58250.000000,58570.000000,56350.144531,228
2016-11-30,58200.000000,59425.000000,58200.000000,59110.000000,56869.675781,414
2016-12-01,58555.000000,58610.000000,57435.000000,57705.000000,55517.925781,302
2016-12-02,57705.000000,58230.000000,57365.000000,57865.000000,55671.863281,220
2016-12-05,57995.000000,58905.000000,57930.000000,58265.000000,56056.703125,154
2016-12-06,58005.000000,58840.000000,57915.000000,58260.000000,56051.886719,128
2016-12-07,58255.000000,58485.000000,57605.000000,57730.000000,55541.976563,173
2016-12-08,58495.000000,58495.000000,57025.000000,57565.000000,55383.230469,158
2016-12-09,58095.000000,58665.000000,57700.000000,58320.000000,56109.617188,172
2016-12-12,58835.000000,58985.000000,58365.000000,58910.000000,56677.253906,144
2016-12-13,59000.000000,59715.000000,58555.000000,59415.000000,57163.117188,289
2016-12-14,59750.000000,59990.000000,59490.000000,59495.000000,57240.082031,187
2016-12-15,59050.000000,59550.000000,58655.000000,59225.000000,56980.316406,223
2016-12-16,59700.000000,60190.000000,59255.000000,60190.000000,57908.738281,398
2016-12-19,60095.000000,60700.000000,59815.000000,60500.000000,58206.992188,266
2016-12-20,60500.000000,60745.000000,60100.000000,60420.000000,58130.023438,156
2016-12-21,60105.000000,61000.000000,60105.000000,60630.000000,58332.066406,145
2016-12-22,60895.000000,60895.000000,60400.000000,60775.000000,58471.570313,97
2016-12-23,60840.000000,61245.000000,60605.000000,61215.000000,58894.890625,107
2016-12-27,61595.000000,62280.000000,61130.000000,61655.000000,59318.218750,77
2016-12-28,61455.000000,61550.000000,60900.000000,61200.000000,58880.457031,101
2016-12-29,60625.000000,61480.000000,60625.000000,61200.000000,58880.457031,62
2016-12-30,61100.000000,62250.000000,61075.000000,61900.000000,59553.929688,209
2017-01-03,62400.000000,63005.000000,61910.000000,61910.000000,59563.554688,228
2017-01-04,62200.000000,63265.000000,62200.000000,63265.000000,60867.195313,110
2017-01-05,63900.000000,64835.000000,63800.000000,64835.000000,62377.695313,185
2017-01-06,65000.000000,65000.000000,64010.000000,64600.000000,62151.597656,159
2017-01-09,64900.000000,64950.000000,64500.000000,64650.000000,62199.703125,107
2017-01-10,64820.000000,64825.000000,63855.000000,64320.000000,61882.210938,191
2017-01-11,64320.000000,64670.000000,63240.000000,63600.000000,61189.496094,115
2017-01-12,64185.000000,64185.000000,62305.000000,63120.000000,60727.691406,139
2017-01-13,63350.000000,63350.000000,62410.000000,62590.000000,60217.777344,165
2017-01-16,62315.000000,62730.000000,62150.000000,62465.000000,60097.515625,127
2017-01-17,64200.000000,65800.000000,64000.000000,65445.000000,62964.574219,330
2017-01-18,65395.000000,66750.000000,65350.000000,66120.000000,63613.988281,300
2017-01-19,65700.000000,66035.000000,65325.000000,65860.000000,63363.843750,164
2017-01-20,65605.000000,65945.000000,65510.000000,65530.000000,63046.351563,128
2017-01-23,65950.000000,65950.000000,65005.000000,65420.000000,62940.515625,112
2017-01-24,65015.000000,66000.000000,65015.000000,65940.000000,63440.812500,162
2017-01-25,65760.000000,66045.000000,65300.000000,66045.000000,63541.832031,167
2017-01-26,66000.000000,66200.000000,65530.000000,65735.000000,63243.578125,212
2017-01-27,65995.000000,66180.000000,65535.000000,65650.000000,63161.804688,220
2017-01-30,65650.000000,66170.000000,64800.000000,64850.000000,62392.125000,222
2017-01-31,64680.000000,64945.000000,63605.000000,64155.000000,61723.464844,259
2017-02-01,64200.000000,65790.000000,64200.000000,65495.000000,63012.675781,286
2017-02-02,65500.000000,65500.000000,64150.000000,64245.000000,61810.054688,260
2017-02-03,64640.000000,65475.000000,64635.000000,65475.000000,62993.433594,152
2017-02-06,65010.000000,65395.000000,64710.000000,64795.000000,62339.207031,134
2017-02-07,64600.000000,65285.000000,64400.000000,64450.000000,62007.285156,153
2017-02-08,64110.000000,65450.000000,64105.000000,65175.000000,62704.804688,146
2017-02-09,64500.000000,65505.000000,64500.000000,65505.000000,63022.292969,81
2017-02-10,65050.000000,65495.000000,64665.000000,65505.000000,63022.292969,121
2017-02-13,64205.000000,65410.000000,64205.000000,64440.000000,61997.660156,159
2017-02-14,64215.000000,64635.000000,64095.000000,64150.000000,61718.656250,174
2017-02-15,64015.000000,64845.000000,64015.000000,64585.000000,62137.167969,139
2017-02-16,64570.000000,64590.000000,64090.000000,64395.000000,61954.367188,130
2017-02-17,64590.000000,65055.000000,64300.000000,65050.000000,62584.542969,147
2017-02-20,65395.000000,65700.000000,64615.000000,65700.000000,63209.910156,108
2017-02-21,65700.000000,66000.000000,65295.000000,65945.000000,63445.621094,118
2017-02-22,65610.000000,66000.000000,65355.000000,65725.000000,63233.957031,148
2017-02-23,65650.000000,65795.000000,65025.000000,65435.000000,62954.953125,163
2017-02-24,65500.000000,65500.000000,64275.000000,64190.000000,61757.132813,119
2017-02-27,64795.000000,64795.000000,64115.000000,64200.000000,61766.757813,147
2017-02-28,64360.000000,65255.000000,64255.000000,65095.000000,62627.835938,212
2017-03-01,65760.000000,65760.000000,64515.000000,65330.000000,62853.933594,179
2017-03-02,65400.000000,65955.000000,64750.000000,65270.000000,62796.203125,154
2017-03-03,65000.000000,65415.000000,64925.000000,65305.000000,62829.875000,162
2017-03-06,65100.000000,65550.000000,65090.000000,65545.000000,63060.781250,123
2017-03-07,65595.000000,66375.000000,65050.000000,66245.000000,63734.253906,260
2017-03-08,65700.000000,65915.000000,65005.000000,65060.000000,62594.164063,216
2017-03-09,65575.000000,65575.000000,64415.000000,64675.000000,62223.753906,291
2017-03-10,65000.000000,65500.000000,64785.000000,65335.000000,62858.742188,232
2017-03-13,65740.000000,66320.000000,65280.000000,66295.000000,63782.355469,179
2017-03-14,66300.000000,66415.000000,65840.000000,66390.000000,63873.753906,182
2017-03-15,65955.000000,66615.000000,65665.000000,66615.000000,64090.230469,225
2017-03-16,66510.000000,67210.000000,66150.000000,67210.000000,64662.675781,222
2017-03-17,67395.000000,67400.000000,66670.000000,67300.000000,64749.269531,353
2017-03-20,66810.000000,67375.000000,66600.000000,67375.000000,64821.421875,105
2017-03-21,67410.000000,67410.000000,66705.000000,66995.000000,64455.828125,133
2017-03-22,66800.000000,66800.000000,66250.000000,66635.000000,64109.472656,156
2017-03-23,66800.000000,66800.000000,65845.000000,66540.000000,64018.070313,190
2017-03-24,66265.000000,66710.000000,66095.000000,66710.000000,64181.625000,113
2017-03-27,66495.000000,66685.000000,65940.000000,66685.000000,64157.570313,139
2017-03-28,66500.000000,66980.000000,66305.000000,66735.000000,64205.679688,133
2017-03-29,67060.000000,67060.000000,65615.000000,66520.000000,63998.824219,131
2017-03-30,66520.000000,66700.000000,66205.000000,66475.000000,63955.535156,93
2017-03-31,66400.000000,66675.000000,66245.000000,66525.000000,64003.636719,144
2017-04-03,66400.000000,66980.000000,66400.000000,66600.000000,64075.792969,69
2017-04-04,66890.000000,66890.000000,66210.000000,66570.000000,64046.933594,160
2017-04-05,66570.000000,66695.000000,66300.000000,66335.000000,63820.835938,122
2017-04-06,66305.000000,66325.000000,65720.000000,66160.000000,63652.472656,94
2017-04-07,66440.000000,66440.000000,65795.000000,65855.000000,63359.031250,114
2017-04-10,66615.000000,66620.000000,65685.000000,66505.000000,63984.390625,96
2017-04-11,65955.000000,66590.000000,65955.000000,66290.000000,63777.546875,112
2017-04-12,66230.000000,66785.000000,65915.000000,66490.000000,63969.968750,122
2017-04-13,66295.000000,66900.000000,66010.000000,66790.000000,64258.593750,60
2017-04-18,66600.000000,67200.000000,66200.000000,67115.000000,64571.277344,156
2017-04-19,67000.000000,67295.000000,66610.000000,67140.000000,64595.332031,125
2017-04-20,66815.000000,67300.000000,66815.000000,67300.000000,64749.269531,107
2017-04-21,67395.000000,67500.000000,66800.000000,67500.000000,64941.687500,196
2017-04-24,67500.000000,67500.000000,66450.000000,67280.000000,65585.062500,122
2017-04-25,67430.000000,67430.000000,66515.000000,66515.000000,64839.328125,152
2017-04-26,66975.000000,66975.000000,66255.000000,66300.000000,64629.746094,161
2017-04-27,66300.000000,66805.000000,66105.000000,66805.000000,65122.023438,120
